%eval_id          Mean1          Mean2         Sigma1         Sigma2      MeanReal1      MeanImag1           Cxx1           Cxy1           Cyy1      MeanReal2      MeanImag2           Cxx2           Cxy2           Cyy2 
       1              0              0              1              1       0.994876       0.099823        1.9e-05       -1.1e-05        5.9e-05       0.994876      -0.099823        1.9e-05        1.1e-05        5.9e-05 
       2              0              0   0.2254033308              1        0.98859       0.096651          1e-05         -6e-06        1.3e-05        0.98859      -0.096651          1e-05          6e-06        1.3e-05 
       3              0              0              1    1.774596669       0.980102       0.092089        9.8e-05       -3.4e-05       0.000153       0.980102      -0.092089        9.8e-05        3.4e-05       0.000153 
       4              0  -0.7745966692              1              1       0.998694       0.041927          1e-05             -0        3.4e-05       0.998694      -0.041927          1e-05              0        3.4e-05 
       5   0.7745966692              0              1              1       0.991486       0.064502        1.5e-05         -7e-06        3.7e-05       0.991486      -0.064502        1.5e-05          7e-06        3.7e-05 
       6  -0.7745966692              0              1              1       1.005794       0.066006          3e-06         -3e-06        3.2e-05       1.005794      -0.066006          3e-06          3e-06        3.2e-05 
       7              0   0.7745966692              1              1       1.002706         0.0544          7e-06         -3e-06        1.6e-05       1.002706        -0.0544          7e-06          3e-06        1.6e-05 
       8              0              0              1   0.2254033308       1.001867       0.103361        1.1e-05         -1e-06          5e-06       1.001867      -0.103361        1.1e-05          1e-06          5e-06 
       9              0              0    1.774596669              1        1.01324       0.108251       0.000115        2.2e-05       0.000209        1.01324      -0.108251       0.000115       -2.2e-05       0.000209 
      10              0              0              1    1.434243749       0.987537       0.096068        4.2e-05       -2.6e-05       0.000107       0.987537      -0.096068        4.2e-05        2.6e-05       0.000107 
      11              0              0              1   0.5657562507       0.999828       0.102318        1.2e-05         -3e-06        2.2e-05       0.999828      -0.102318        1.2e-05          3e-06        2.2e-05 
      12              0              0              1    1.960491269       0.975207       0.089246       0.000178       -1.2e-05       0.000198       0.975207      -0.089246       0.000178        1.2e-05       0.000198 
      13              0              0              1  0.03950873129       1.002246       0.103577        1.1e-05         -1e-06          2e-06       1.002246      -0.103577        1.1e-05          1e-06          2e-06 
      14              0              0   0.2254033308    1.774596669       0.974503       0.089181        9.3e-05          6e-06        4.4e-05       0.974503      -0.089181        9.3e-05         -6e-06        4.4e-05 
      15              0              0   0.2254033308   0.2254033308       0.994982       0.099846          1e-06             -0          1e-06       0.994982      -0.099846          1e-06              0          1e-06 
      16              0              0    1.774596669    1.774596669       0.994622       0.099676       0.000122       -5.6e-05       0.000507       0.994622      -0.099676       0.000122        5.6e-05       0.000507 
      17              0              0    1.774596669   0.2254033308       1.023213       0.112442       0.000131        2.1e-05          3e-05       1.023213      -0.112442       0.000131       -2.1e-05          3e-05 
      18              0              0   0.5657562507              1       0.990307       0.097496        1.2e-05         -8e-06        2.5e-05       0.990307      -0.097496        1.2e-05          8e-06        2.5e-05 
      19              0              0    1.434243749              1       1.002937       0.103786        4.1e-05         -6e-06       0.000123       1.002937      -0.103786        4.1e-05          6e-06       0.000123 
      20              0              0  0.03950873129              1       0.988277       0.096527          1e-05         -6e-06        1.2e-05       0.988277      -0.096527          1e-05          6e-06        1.2e-05 
      21              0              0    1.960491269              1       1.021549       0.111082       0.000249        4.8e-05       0.000278       1.021549      -0.111082       0.000249       -4.8e-05       0.000278 
      22              0  -0.7745966692              1    1.774596669       0.997298       0.041218        2.3e-05         -4e-06        8.7e-05       0.997298      -0.041218        2.3e-05          4e-06        8.7e-05 
      23              0   0.7745966692              1    1.774596669       1.000989       0.054946        1.1e-05         -8e-06        4.9e-05       1.000989      -0.054946        1.1e-05          8e-06        4.9e-05 
      24              0  -0.7745966692              1   0.2254033308       0.999316       0.042312          5e-06          1e-06          1e-05       0.999316      -0.042312          5e-06         -1e-06          1e-05 
      25              0   0.7745966692              1   0.2254033308       1.003419       0.054246          6e-06         -1e-06          2e-06       1.003419      -0.054246          6e-06          1e-06          2e-06 
      26              0  -0.7745966692   0.2254033308              1       0.998166       0.042032          5e-06              0          1e-05       0.998166      -0.042032          5e-06             -0          1e-05 
      27              0   0.7745966692   0.2254033308              1       1.001961       0.054871          2e-06         -2e-06          7e-06       1.001961      -0.054871          2e-06          2e-06          7e-06 
      28              0  -0.7745966692    1.774596669              1        0.99989       0.041865          2e-05          3e-06        9.7e-05        0.99989      -0.041865          2e-05         -3e-06        9.7e-05 
      29              0   0.7745966692    1.774596669              1       1.004375       0.053575        2.1e-05         -5e-06        3.9e-05       1.004375      -0.053575        2.1e-05          5e-06        3.9e-05 
      30              0  -0.4342437493              1              1       0.995188       0.072058        1.8e-05         -3e-06        5.4e-05       0.995188      -0.072058        1.8e-05          3e-06        5.4e-05 
      31              0   0.4342437493              1              1        1.00114       0.071613          9e-06         -5e-06        2.8e-05        1.00114      -0.071613          9e-06          5e-06        2.8e-05 
      32              0  -0.9604912687              1              1       0.999798       0.031002          8e-06              0        2.9e-05       0.999798      -0.031002          8e-06             -0        2.9e-05 
      33              0   0.9604912687              1              1       1.003053       0.048076          6e-06         -2e-06        1.3e-05       1.003053      -0.048076          6e-06          2e-06        1.3e-05 
      34   0.7745966692              0              1    1.774596669        0.98558       0.059471        5.8e-05       -2.4e-05        8.8e-05        0.98558      -0.059471        5.8e-05        2.4e-05        8.8e-05 
      35  -0.7745966692              0              1    1.774596669       1.003701       0.062788          9e-06         -6e-06        8.8e-05       1.003701      -0.062788          9e-06          6e-06        8.8e-05 
      36   0.7745966692              0              1   0.2254033308       0.994495       0.066983          4e-06              0          6e-06       0.994495      -0.066983          4e-06             -0          6e-06 
      37  -0.7745966692              0              1   0.2254033308       1.006783       0.067694          2e-06         -1e-06          5e-06       1.006783      -0.067694          2e-06          1e-06          5e-06 
      38   0.7745966692              0   0.2254033308              1       0.988908       0.062439        1.1e-05         -5e-06          1e-05       0.988908      -0.062439        1.1e-05          5e-06          1e-05 
